year,n,k,occ,words,rate,lo,hi,per_100k_words
2017,13229,2692,4017,39810003,0.20349232746239324,0.19671827031224226,0.2104385417212367,10.090428779922473
2018,12528,2719,3987,42978062,0.2170338441890166,0.2099026143286116,0.22433855897188718,9.276825930401422
2019,17429,3248,4642,43400679,0.18635607321131448,0.18064433570019692,0.1922060434370747,10.695685198842165
2020,18973,3518,4966,43165056,0.18542138828862068,0.17995514439204843,0.19101499639260144,11.50467637526058
2021,10883,2348,3526,31279491,0.21574933382339428,0.20812204962103034,0.22357722301282518,11.272561948018911
2022,5484,1467,2485,23353305,0.2675054704595186,0.2559552860641304,0.2793811565912116,10.640892156377866
2023,5964,1496,2381,22634509,0.25083836351441985,0.23999911624116713,0.26199838985886076,10.519335762927307
2024,5810,1620,2766,25009612,0.27882960413080893,0.26744791116502115,0.29050358169986873,11.059747748185778
2025,5367,1791,3094,27007748,0.33370598099496923,0.321213355661303,0.34643649645870744,11.455971819642274
2026,1866,652,1101,10363365,0.34941050375133975,0.32810666122876847,0.371333120194428,10.623962390594174
